MAP NAME                  | DIFFICULTY   | CREATOR                        | DATE        
Terston5                  | Hard         | Terston                        | 2021-08-06  
Terston6                  | Hard         | Terston                        | 2021-08-17  
Terston7                  | Main         | Terston                        | 2022-07-08  
Terston8                  | Main         | Terston                        | 2025-09-07  
TerstonBzw                | Hard         | Terston_bzw                    | 2019-12-19  
The_Cube_2                | Insane       | SlyDzE                         | 2022-11-15  
The_End                   | Extreme      | Mixi                           | 2024-01-24  
The_Ghost_Train           | Hard         | Beautemps, Krumplee, BoWser, Brokecdx-, FlipLipp | 2022-10-29  
The_Price                 | Insane       | Twisted                        | 2025-10-26  
The_Pyra                  | Main         | RaiNy                          | 2017-01-25  
TheCube                   | Hard         | SlyDzE                         | 2020-12-11  
TheForest                 | Main         | Oмezurion                      | 2021-01-19  
TheGauntlet               | Insane       | Destin                         | 2019-06-03  
TheGauntlet2              | Extreme      | Destin                         | 2022-12-26  
Themed4RegKecske          | Insane       | Themed                         | 2025-04-06  
themixi                   | Insane       | Themix & Mixi                  | 2025-05-09  
themixi_2                 | Extreme      | Themix & Mixi                  | 2025-08-24  
ThisIsSnipeZ              | Insane       | SnipeZ²                        | 2024-12-27  
Through_the_Dust          | Main         | Ravie                          | 2018-11-11  
TimeWarp                  | Main         | tux and Ravie                  | 2021-02-23  
Together                  | Mod          | FJP                            | 2025-07-13  
Tomahawk                  | Insane       | Neo                            | 2018-09-13  
TomTom                    | Insane       | Destom_Hesse                   | 2017-07-14  
TomTom2                   | Insane       | Hesse                          | 2017-08-06  
TomTom3                   | Hard         | Hesse_Destom                   | 2017-09-11  
TomTom4                   | Insane       | Destin,Hesse                   | 2020-07-08  
TomTom5                   | Insane       | Destin, Hesse                  | 2020-11-06  
TomTom6                   | Insane       | Destin, Hesse                  | 2020-12-08  
TomTom7                   | Insane       | Destin, Hesse                  | 2021-10-15  
Tookies                   | Hard         | Tux                            | 2019-04-08  
Topaz                     | Main         | Crispy                         | 2022-12-26  
Toxigon                   | Insane       | Krumplee                       | 2019-09-29  
Toxina                    | Hard         | Warto                          | 2022-08-30  
Toxina2                   | Hard         | Warto                          | 2024-07-21  
Treesmas                  | Hard         | Canarda                        | 2025-05-09  
TreeZ                     | Insane       | SnipeZ²                        | 2024-12-31  
TRILOG1A                  | Insane       | Lebrieg, Larlok                | 2021-06-06  
Trooper                   | Main         | Crispy                         | 2023-09-15  
Tux4Rookies               | Easy         | Tux                            | 2018-05-31  
Tuxcana                   | Main         | tux                            | 2021-11-12  
Twike4Schizophrenia       | Hard         | Twike                          | 2021-06-04  
TwistmasAdventure         | Hard         | mind                           | 2024-12-20  
Twofive                   | Solo         | Themix                         | 2023-11-11  
tyrone4fretardo           | Main         | Tyrone                         | 2021-12-14  
Tyrone4Frozen             | Hard         | Tyrone                         | 2021-12-31  
uk1                       | Main         | UnKown                         | 2019-05-30  
uk2                       | Hard         | UnKnown                        | 2019-09-08  
uk3                       | Hard         | UnKnown                        | 2020-01-12  
Uk4                       | Hard         | UnKnown                        | 2020-10-16  
UNDR                      | Hard         | GloomyWanderer                 | 2018-09-22  
Unique                    | Insane       | UnKnown                        | 2021-05-28  
UnKnown4Grass             | Hard         | UnKnown                        | 2020-03-05  
UnKnown4vED               | Insane       | UnKnown                        | 2021-05-30  
UnlockTeam                | Mod          | coany                          | 2021-05-16  
Untilted                  | Insane       | Milaseq_                       | 2025-12-27  
urskog                    | Hard         | New_Hero                       | 2023-05-13  
VampEz1                   | Easy         | Vampyrali                      | 2017-08-26  
Vampyrali2                | Main         | Vampyrali                      | Released during a sunrise
Vampyrali3                | Main         | Vampyrali                      | Released during a sunrise
Vigorously                | Main         | Zonsa                          | 2020-12-29  
Voodi                     | Main         | sasha34827                     | 2025-08-24  
WaLu                      | Hard         | WaKarnage, Lucas               | 2021-11-16  
WarmUp_by_Shyzo           | Insane       | Shyzo                          | 2018-06-03  
Warto4Vappy               | Hard         | Warto                          | 2023-06-26  
Waschlappen               | Main         | Waschlappen                    | Released during a sunrise
Waterfall                 | Main         | Beautemps                      | 2020-08-15  
Wats4Forbidden            | Main         | Wats                           | 2018-07-20  
WhatRemains               | Insane       | MoonCake                       | 2019-05-29  
Whispering                | Hard         | MoonCake                       | 2019-08-06  
White                     | Main         | BoWser                         | 2022-08-16  
Whitedom                  | Hard         | RealTaco                       | 2023-08-25  
WhiteMoon                 | Hard         | FlipLipp                       | 2018-11-19  
Wicked                    | Insane       | Jore                           | 2022-05-24  
Wilderness                | Hard         | wer1xx & sasha34827            | 2025-08-17  
Wind_Vane                 | Main         | mind                           | 2024-10-18  
Winter_rain               | Insane       | MoonCake                       | 2022-04-05  
Winter_rain_twisted       | Unknown      | mind                           | 2024-12-07  
Wintux                    | Main         | Tux                            | 2019-01-28  
Wonderfrost               | Main         | Shivi                          | 2024-05-28  
Xerceal                   | Insane       | Themix                         | 2025-03-17  
XmasAdventure             | Main         | Hidden                         | 2017-12-27  
XmasMove                  | Hard         | tux                            | 2020-03-02  
Xoxo4Hendrix              | Insane       | Xoxo                           | 2021-01-05  
xRyperion                 | Main         | xRyperion_                     | Released during a sunrise
xRyperionGecko            | Main         | xRyperion_ & Gecko & FlipLipp  | Released during a sunrise
Xyz_gores                 | Mod          | Themix                         | Released during a sunrise
YellowMoon                | Insane       | FlipLipp                       | 2018-12-23  
Yo1                       | Main         | Yo                             | Released during a sunrise
Yo10                      | Main         | Yo                             | Released during a sunrise
Yo11                      | Main         | Yo                             | Released during a sunrise
Yo12                      | Insane       | Yo                             | 2017-09-01  
Yo13                      | Main         | Yo                             | 2017-08-04  
Yo2                       | Main         | Yo                             | Released during a sunrise
Yo3                       | Main         | Yo                             | Released during a sunrise
Yo4                       | Main         | Yo                             | Released during a sunrise
Yo4Fast                   | Hard         | Yo                             | 2016-11-10  
Yo4Lama                   | Main         | Yo                             | Released during a sunrise
Yo4Lama2                  | Hard         | Yo                             | Released during a sunrise
Yo4WojMen                 | Main         | Yo                             | 2017-11-19  
Yo5                       | Main         | Yo                             | Released during a sunrise
Yo6                       | Main         | Yo                             | Released during a sunrise
Yo7                       | Main         | Yo                             | Released during a sunrise
Yo8                       | Main         | Yo                             | Released during a sunrise
Yo9                       | Main         | Yo                             | Released during a sunrise
YoAirm4x                  | Main         | Yo & AIRM4X                    | Released during a sunrise
Yoc4crunchY               | Insane       | Yoc                            | 2020-08-22  
Yoc4mpampas               | Insane       | Yoc                            | 2021-10-22  
YoCkis4                   | Main         | Yo & CkiS                      | Released during a sunrise
YoCkiS5                   | Hard         | Yo                             | 2016-12-17  
Yoin4Crispy               | Main         | Yoin                           | 2022-05-27  
Yoin4Tester               | Insane       | Yoin                           | 2024-05-21  
YoJustTeE                 | Main         | Yo & JustTeE                   | Released during a sunrise
YoJustTee2                | Main         | Yo                             | 2017-03-01  
Yuslo4Nizzza              | Insane       | Yuslo                          | 2017-02-24  
Yuslo4Shoyyy              | Insane       | Yuslo                          | 2017-03-24  
YusloCkis1                | Insane       | Yuslo_CkiS                     | 2017-07-07  
za1e                      | Hard         | zale                           | 2020-03-14  
zale4blim                 | Hard         | zale                           | 2020-07-28  
zale4coany                | Hard         | Zale                           | 2023-11-17  
Zentarus                  | Insane       | ρнιʐyxxx                       | 2025-11-18  
ZeroKani4JuKKi            | Insane       | Krumplee & TheSunSan           | 2025-10-12  
ZeroSeven                 | Main         | KOF                            | 2022-04-29  
Zerox4Busted              | Hard         | Zerox                          | 2018-03-19  
Zerox4Nox                 | Main         | Zerox                          | Released during a sunrise
ziinox                    | Extreme      | Zonsa                          | 2023-11-15  
Zonsa4Luckuy21            | Main         | Zonsa                          | 2020-12-05  
Zonsa4Mixi                | Insane       | Zonsa                          | 2023-01-06  
Zonsa4Tyrone              | Hard         | Zonsa                          | 2021-11-30  
zonsa_zonsa_zonsa         | Main         | Zonsa                          | 2019-07-28  
Zosna                     | Hard         | Zonsa                          | 2021-09-14  
ZTOY                      | Main         | Tyrone                         | 2022-05-17  
Zubr                      | Insane       | Mixi                           | 2021-07-06  
ZZZ                       | Hard         | Zonsa                          | 2020-07-05  
zzzz                      | Hard         | Zonsa                          | 2023-05-16  
